10CC,Dreadlock Holiday,Gm
187 Lockdown,Gunman (Natural Born Chillers Remix),Ebm
4hero,Star Chasers (Masters At Work Main Mix),Am
50 Cent,In Da Club,C#m
808 State,Pacific State,Ebm
A Guy Called Gerald,Voodoo Ray,A
A Tribe Called Quest,Can I Kick It? (Boilerhouse Mix),Em
A Tribe Called Quest,Find A Way,Ebm
A Tribe Called Quest,Vivrant Thing (feat Violator),Bbm
A-Skillz,Drop The Funk,Em
Aaliyah,Are You That Somebody?,Dm
AC-DC,Back In Black,Em
AC-DC,You Shook Me All Night Long,G
Acid District,Keep On Searching,G#m
Adam F,Aromatherapy (Edit),Am
Adam F,Circles (Album Edit),Dm
Adam F,Dirty Harry's Revenge (feat Beenie Man and Siamese),G#m
Adam F,Metropolis,Fm
Adam F,Smash Sumthin (feat Redman),Cm
Adam F,Stand Clear (feat M.O.P.) (Origin Unknown Remix),F#m
Adam F,Where's My (feat Lil' Mo),Fm
Adam K & Soha,Question,Gm
Adamski,Killer (feat Seal),Bbm
Adana Twins,Anymore (Manik Remix),Ebm
Afrika Bambaataa,Mind Control (The Danmass Instrumental),Ebm
Agent Sumo,Mayhem,Fm
Air,Sexy Boy,Dm
Aktarv8r,Afterwrath,Am
Aktarv8r,Shinkirou,A
Alexis Raphael,Kitchens & Bedrooms,Fm
Algol,Callisto's Warm Oceans,Am
Alison Limerick,"Where Love Lives (Original 7"" Radio Edit)",Em
Alix Perez,Forsaken (feat Peven Everett and Spectrasoul),Cm
Alphabet Pony,Atoms,Em
Alphabet Pony,Clones,Am
Alter Ego,Rocker,Am
Althea & Donna,Uptown Top Ranking (2001 digital remaster),Am
Alton Ellis,Black Man's Pride,F
Aluna George,"Your Drums, Your Love (Duke Dumont Remix)",G#
Amerie,1 Thing,Ebm
Amira,My Desire (Dreem Teem Remix),Fm
Amirali,Beautiful World,Fm
Amnesia Haze,Raw (feat Anturage),Bm
Amy Winehouse,You're Wondering Now,C
Andrew Bayer & Matt Lange,In And Out Of Phase (feat Kerry Leva) (Calyx & TeeBee Remix),Cm
Antipop Consortium,Ping Pong,Fm
AntiSerum,Trippy (feat Mayhem),F#m
Aphex Twin,Flim,Bb
Aphex Twin,Windowlicker,Cm
Aretha Franklin,Respect,C
Aril Brikha,Palma,Bbm
Armand Van Helden,The Funk Phenomena,Ebm
Armand Van Helden,U Don't Know Me (feat Duane Harden),Gm
Arrested Development,People Everyday (Ibrahim's Edit),Em
Ash,Kung Fu,E
Asian Dub Foundation,Box,Fm
Asian Dub Foundation,Charge,Em
Asian Dub Foundation,Witness,Fm
Audio Junkies,Bird On A Wire (Audio Junkies Dub),Fm
Audioweb,Policeman Skank (Freestylers Rinse Out Mix),Em
Augustus Pablo,Java,Am
Azzido Da Bass,Doom's Night (Timo Maas Remix),Am
B-Complex,Beautiful Lies VIP,Dm
B-Complex,Three Dots,Em
Babe Ruth,The Mexican,Em
Baby D,Let Me Be Your Fantasy,Em
Bachelors Of Science,Strings Track,Bm
Bachelors Of Science,The Ice Dance,C#m
Backdraft,Riddler,Dm
Bad Company,The Nine,Am
Basement Jaxx,Jump N' Shout,Em
Basement Jaxx,Never Say Never (Mark Knight Remix),G#m
Basement Jaxx,Red Alert,Fm
Basement Jaxx,Where's Your Head At,C
Bass Brothers,Jamaican Thug,Em
Beastie Boys,An Open Letter To NYC,C#m
Beastie Boys,Intergalactic,Em
Beastie Boys,Root Down,F
Beastie Boys,Sure Shot,Ebm
Beastie Boys,Triple Trouble,Em
Beat Assassins,Gunclip,F#m
Beats International,Dub Be Good To Me,Gm
Beck,Where It's At,A
Beenie Man,Who Am I? (Playground Mix),Bm
Ben Pearce,What I Might Do,Cm
Ben Sage,All About You (VIP Mix),Bm
Benga,Crunked Up,F#m
Benga,E Trips,F#m
Benny Page,Sound Fi Dead (feat Top Cat),Am
Beyoncé,Crazy In Love,Dm
Big Chocolate,Blue Milk,Am
Big L,Put It On,F#m
Big Punisher,Twinz (Deep Cover '98),Bm
Bigga Star,Ghost,F#m
Bill Withers,Use Me,Em
Bill Withers,Who Is He (And What Is He To You)?,G#m
Billy Idol,White Wedding,Bm
Bimbo & Lemar,Music (B&K Jazz Rub),Em
Bizarre Inc,Playing With Knives,Bm
Björk,Hyperballad,Cm
Black Box,Ride On Time,Am
Black Moon,Who Got Da Props,Ebm
Blak Twang,So Rotten (feat Jahmali),Am
Blake Leyh,The Fall,Em
Blondie,Atomic,Em
Blondie,Call Me,Dm
Blondie,One Way Or Another,D
Blondish,Lonely Days (Hunter Game Remix),Am
Blu Cantrell,Breathe (feat Sean Paul),Bm
Blu Mar Ten,Into The Light (feat Airwalker),Gm
Blu Mar Ten,Love Is The Devil,Cm
Blu Mar Ten,The Fourth (feat Jenni Potts),F#m
Blu Mar Ten,Whisper (feat Kirsty Hawkshaw),Cm
Blueboy,Remember Me,G#m
Blur,Girls And Boys,Gm
Boards of Canada,Music is Math,Gm
Boards of Canada,Roygbiv,Bm
Boards of Canada,Rue The Whirl,Bm
Bob Holroyd,Re-torch,Ebm
Bob Marley & The Wailers,Could You Be Loved (Album version),Bm
Bob Marley & The Wailers,"Get Up, Stand Up",Cm
Bob Marley & The Wailers,I Shot The Sheriff (Album version),Gm
Bob Marley & The Wailers,Jamming (Eric Thorngren Remix),Bm
Bobby Womack,Across 110th Street,Bm
Bodyrox,Yeah Yeah (feat Luciana) (D Ramirez Vocal Club Mix),C
Boogie Down Productions,I'm Still #1,Dm
Booker T & The MG's,Green Onions,Fm
Bossman,Ayo,G#m
Boys Noize,Yeah,Dm
Brand Nubian,Don't Let It Go To Your Head,Eb
Breakbeat Era,Animal Machine,Bbm
Breakbeat Era,Bullitproof (Unkle Remix),Bm
Breakbeat Era,Past Life,Ebm
Breaking News,Rush Hour (Quadrat Beat Remix),Fm
Britney Spears,Toxic (Armand Van Helden Remix),Cm
Brookes Brothers,Last Night,Cm
Brookes Brothers,Snowman,Bbm
Brookes Brothers,Tear You Down (Single),Ebm
Brother Ali,Tight Rope,Am
Brother Ali,Victory! (Come Forward),Am
Brothers Johnson,Strawberry Letter 23,Eb
Bruce Springsteen,Tenth Avenue Freeze Out,F
BSN Posse,Southern Light (Manul Remix),Dm
Busta Rhymes,Fire It Up (Instrumental),Em
Busta Rhymes,Woo Hah!! (Got You All In Check) (feat Rampage),C
Busy Signal,Modern Day Slavery,Gm
C&C Music Factory,Gonna Make You Sweat (Everybody Dance Now),Bbm
Calvin Harris,Acceptable In The 80s,E
Calvin Harris,I'm Not Alone (Deadmau5 Mix),F#
Calyx,Elevate This Sound (feat TeeBee),Fm
Calyx,The Divide (feat TeeBee),Fm
Calyx & Teebee,Pure Gold (feat Kemo),Fm
Cameo,Word Up!,F#m
Camo & Krooked,Afterlife,Dm
Camo & Krooked,In The Future (feat Jenna G and Futurebound),Fm
Camo & Krooked,Reincarnation,Fm
Camo & Krooked,Turn Up (The Music),Gm
Caribou,All I Ever Need,Bbm
Caribou,Back Home,Cm
Caribou,Dive,Cm
Caribou,Our Love,Cm
Cate Ferris,Blaze Bright,Bm
Ce-Ce Peniston,Finally,Bm
Cellardore,Tubular Bass,Am
Chad Jackson,Hear The Drummer (Get Wicked),Cm
Chairmen Of The Board,Give Me Just A Little More Time,C
Chase & Status,Alive (feat Jacob Banks),F
Chase & Status,Blind Faith (feat Liam Bailey) (Loadstar Remix),Dm
Chase & Status,Can't Get Enough,C#m
Chase & Status,Eastern Jam,Em
Chase & Status,Fire In Your Eyes (feat Maverick Sabre),Gm
Chase & Status,Flashing Lights (feat Sub Focus and Takura),Em
Chase & Status,Hypest Hype (feat Tempa T),Em
Chase & Status,Is It Worth It,Dm
Chase & Status,No Problem,Fm
Chase & Status,Streetlife (feat Takura),Dm
Chase & Status,Time (feat Delilah),Am
Chewie,Isolation,Em
Chewie,Silver and Gold (feat Mykal Rose),Em
Chic,"Everybody Dance (12"" Version)",Cm
Chicane,Offshore (Disco Citizens Remix),Fm
Chris Malinchak,So Good To Me (Radio Edit),B
Chromatic,Tell Her,Fm
Claude VonStroke,Who's Afraid Of Detroit? (Stanton Warriors Remix),Fm
Clifford Gilberto,The 10th Victim,Dm
Clima,Be Without You (feat Lady Emz),Bm
Clima,Be Without You (feat Lady Emz) (BSN Posse Remix),Bm
Commix,Be True,G#m
Common,I Used To Love H.E.R.,Fm
Coolio,Gangsta's Paradise,Cm
Corona,"The Rhythm of the Night (Rapino Bros 7"")",Cm
Counterfeit,Inner Space (Bootleg),Am
Counterfeit,Moonlit (Promo),Am
Counterfeit,One Kick (Promo),Am
Counterfeit,Time To Shine (Promo),F#m
Crisp Biscuit,Soggy Bottomz,Fm
Crystal Castles,Baptism,Em
Crystal Castles,Reckless,F#m
Crystal Castles,Untrust Us,Gm
Crystal Waters,Gypsy Woman,Dm
CSS,Let's Make Love And Listen To Death From Above,Cm
CSS,Meeting Paris Hilton,G#m
Culture Shock,I Remember,G#m
Curtis Mayfield,Move On Up,Bm
Cut Copy,Lights And Music,Bbm
Cut Copy,Out There On The Ice,Bb
Cyantific,Brighter Day (feat Natalie Williams),F#m
Cyantific,Flashback (feat Logistics),Gm
D Double E,Street Fighter Riddim,Am
D Ramirez,Colombian Soul (feat Mark Knight),Em
Daft Punk,Aerodynamic (Daft Punk Remix),Bm
Daft Punk,Around The World,Em
Daft Punk,Contact (feat DJ Falcon),Bm
Daft Punk,Da Funk,Gm
